Engine,Feature,Real Std Dev,Generated Std Dev,Ratio to Real
Physics-Informed Monte Carlo,ripeness_index,1.7653417265139453,1.8195024031991787,1.0306799957604726
Physics-Informed Monte Carlo,sugar_content_brix,2.038654334354718,2.0214166314486595,0.9915445680929943
Physics-Informed Monte Carlo,firmness_kgf,1.324447816620973,1.2765220149343506,0.9638145036103467
Physics-Informed Monte Carlo,length_cm,5.606515984842487,5.800431671772764,1.034587556238944
Physics-Informed Monte Carlo,weight_g,48.594665903824755,49.19902425846686,1.0124367220846462
Regression,ripeness_index,1.7653417265139453,1.897483350728953,1.0748532832087703
Regression,sugar_content_brix,2.038654334354718,2.2604195207425133,1.1087801804605533
Regression,firmness_kgf,1.324447816620973,1.4075601900933696,1.0627524712030096
Regression,length_cm,5.606515984842487,6.4904470049253815,1.1576613751700073
Regression,weight_g,48.594665903824755,56.58954353392603,1.1645217120316085
Variational Autoencoder,ripeness_index,1.7653417265139453,2.47937273979187,1.4044718382587238
Variational Autoencoder,sugar_content_brix,2.038654334354718,2.281266212463379,1.1190058922791604
Variational Autoencoder,firmness_kgf,1.324447816620973,1.9062812328338623,1.439302635340745
Variational Autoencoder,length_cm,5.606515984842487,7.543308258056641,1.3454538038329642
Variational Autoencoder,weight_g,48.594665903824755,69.32698059082031,1.426637662825536
Physics-Informed VAE (Hybrid),ripeness_index,1.7653417265139453,1.7455230951309204,0.9887734872600779
Physics-Informed VAE (Hybrid),sugar_content_brix,2.038654334354718,2.030897617340088,0.9961951779250084
Physics-Informed VAE (Hybrid),firmness_kgf,1.324447816620973,1.272355079650879,0.960668335651761
Physics-Informed VAE (Hybrid),length_cm,5.606515984842487,5.785280704498291,1.0318851707796972
Physics-Informed VAE (Hybrid),weight_g,48.594665903824755,49.34699249267578,1.0154816701557323
