Engine,Feature,Real Std Dev,Generated Std Dev,Ratio to Real
Physics-Informed Monte Carlo,VitaminC,13.253347377744465,14.439271929502244,1.089481133932189
Physics-Informed Monte Carlo,TA,160.17035854559342,169.96330918506754,1.061140842340604
Physics-Informed Monte Carlo,SSC,3.973038680136042,3.8934734267501487,0.979973702802418
Regression,VitaminC,13.253347377744465,15.932442922088576,1.202144821831423
Regression,TA,160.17035854559342,212.40430129729762,1.3261149143075404
Regression,SSC,3.973038680136042,4.846295633311202,1.2197957340665153
Variational Autoencoder,VitaminC,13.253347377744465,15.367897033691406,1.1595483462161247
Variational Autoencoder,TA,160.17035854559342,191.13595581054688,1.1933291374642139
Variational Autoencoder,SSC,3.973038680136042,4.497463226318359,1.1319958320074448
Physics-Informed VAE (Hybrid),VitaminC,13.253347377744465,13.663687705993652,1.0309612595636215
Physics-Informed VAE (Hybrid),TA,160.17035854559342,166.97422790527344,1.0424789544174196
Physics-Informed VAE (Hybrid),SSC,3.973038680136042,3.812509775161743,0.9595954336470739
