group,n,corr_far,corr_near,ks_far,ks_near,coverage_far,coverage_near,coverage_far_conf,coverage_near_conf,disagreement_far,disagreement_near
Cengkir,7.0,0.5280436042878999,0.9938673833555747,0.474983468142472,0.6165238095238095,0.45970250169033133,0.5238095238095238,0.7111862369468859,0.8095238095238094,0.08668729668030582,0.060627388242767276
Kent,30.0,0.6992632068239315,0.3953474763571922,0.3831105434936853,0.1877222222222222,0.7029232297431531,0.9111111111111111,0.6482191003263801,0.9111111111111111,0.1101519246457048,0.06208346973352071
Kweni,11.0,0.616197463770987,0.9910675473342073,0.28934229000242073,0.27445454545454545,0.8061486322924232,0.8181818181818182,0.858315177923021,0.9393939393939394,0.12018887333753898,0.07873935253222107
Palmer,19.0,0.5447868141662334,0.8954033622875738,0.2889432799939899,0.20827192982456136,0.8367215085267823,0.9298245614035087,0.769739313349861,0.8947368421052632,0.11904627054136352,0.08033283802449061
MEAN,,0.597072772262263,0.818921442333637,0.359094895408142,0.32174312675628464,0.7013739680631725,0.7957317536264904,0.746864957136537,0.8886914255335309,0.10901859130122828,0.07044576213324992
