dataset,engine,metric,mean,std
citrus_exp6,CTGAN,corr_dist,2.735587605457548,0.20833583523469623
citrus_exp6,CTGAN,mean_ks,0.30076444444444445,0.02467310026209129
citrus_exp6,CTGAN,energy_dist,0.5924011189672405,0.2865838948324493
citrus_exp6,CTGAN,mmd,0.09567932506045759,0.055387424883582156
citrus_exp6,TVAE,corr_dist,0.9309537082055179,0.08833831497067862
citrus_exp6,TVAE,mean_ks,0.17861333333333335,0.010210060398123676
citrus_exp6,TVAE,energy_dist,0.12229659167728268,0.0396699002878955
citrus_exp6,TVAE,mmd,0.024234557649393862,0.009098720378999255
citrus_exp6,MCMC,corr_dist,0.6206506376795015,0.2892212222075323
citrus_exp6,MCMC,mean_ks,0.10950666666666668,0.03333736049747
citrus_exp6,MCMC,energy_dist,0.06651100634711975,0.03669075062728872
citrus_exp6,MCMC,mmd,0.010273505960920604,0.006556888538399379
citrus_exp6,PI-VAE,corr_dist,0.399841354344876,0.2860978301734776
citrus_exp6,PI-VAE,mean_ks,0.08703555555555556,0.017038674961523424
citrus_exp6,PI-VAE,energy_dist,0.034570737166964086,0.01465961053029271
citrus_exp6,PI-VAE,mmd,0.004300205027387705,0.0035358393156457225
tomato_nir,CTGAN,corr_dist,2.526421720670773,0.15085877899465983
tomato_nir,CTGAN,mean_ks,0.28125982905982905,0.026064243647518973
tomato_nir,CTGAN,energy_dist,0.8195823252741249,0.17203268543149397
tomato_nir,CTGAN,mmd,0.11421335284635714,0.02965591011314094
tomato_nir,TVAE,corr_dist,1.3298070710228924,0.15787730147576304
tomato_nir,TVAE,mean_ks,0.15270683760683762,0.01337016151218301
tomato_nir,TVAE,energy_dist,0.146017277749079,0.032150423670943895
tomato_nir,TVAE,mmd,0.031381455434264,0.007801601041461547
tomato_nir,MCMC,corr_dist,0.6479516541998886,0.2173402966500898
tomato_nir,MCMC,mean_ks,0.07828205128205128,0.013686508089687943
tomato_nir,MCMC,energy_dist,0.03946019600772912,0.02176023351831584
tomato_nir,MCMC,mmd,0.005445902754010312,0.0030250396437240612
tomato_nir,PI-VAE,corr_dist,0.5478640579771854,0.17979194426372005
tomato_nir,PI-VAE,mean_ks,0.07488717948717949,0.009988454234026589
tomato_nir,PI-VAE,energy_dist,0.02839357094771202,0.011386907492636923
tomato_nir,PI-VAE,mmd,0.003938724520295178,0.0018462343840655235
grape_berry,CTGAN,corr_dist,3.3788075931396855,0.04230795939769047
grape_berry,CTGAN,mean_ks,0.23420873876665635,0.03255121172157999
grape_berry,CTGAN,energy_dist,0.5450739484138332,0.11753725356814648
grape_berry,CTGAN,mmd,0.07071005418963053,0.01837367645739533
