dataset,config,n_seeds,disagreement_far_mean,disagreement_far_std,disagreement_near_mean,disagreement_near_std,coverage_far_mean,coverage_far_std,coverage_near_mean,coverage_near_std,coverage_far_conf_mean,coverage_far_conf_std,coverage_near_conf_mean,coverage_near_conf_std,corr_far_mean,corr_far_std,corr_near_mean,corr_near_std,widening_pct_mean,widening_pct_std
Citrus (oranges),citrus_exp6,5,0.1127,0.013,0.0436,0.0035,0.3083,0.0114,0.929,0.021,0.1897,0.0181,0.8562,0.0303,1.1607,0.0375,0.9944,0.0921,162,49
Tomato,tomato_nir,5,0.1086,0.007,0.0591,0.0038,0.6689,0.0089,0.9405,0.007,0.6338,0.0073,0.9094,0.0013,1.752,0.043,1.2926,0.1093,84,14
Grape berry,grape_berry,5,0.101,0.0053,0.0607,0.0054,0.7451,0.0113,0.9266,0.0096,0.7077,0.0136,0.9004,0.0012,2.2473,0.0467,1.7211,0.0695,68,18
Apple,apple_samnegard,5,0.1245,0.0092,0.0704,0.0057,0.6507,0.0081,0.8706,0.0157,0.7167,0.0143,0.9002,0.003,2.1207,0.0898,2.2139,0.2551,78,24
Mango (Vit C),mango_composition,5,0.1044,0.0059,0.0675,0.0049,0.6922,0.0157,0.8248,0.0287,0.7581,0.0142,0.8911,0.005,0.6638,0.0477,0.7006,0.108,55,17
Safou (nutrients),biofood_safou_region,5,0.0746,0.0074,0.0492,0.0119,0.3058,0.0202,0.6085,0.0651,0.5204,0.0687,0.7804,0.0599,1.5901,0.1005,0.3199,0.0441,57,29
