dataset,config,engine,metric,mean,std,n,values
Date (nutrients),biofood_date_region,physics_mc,calib_err,0.0903,0.0134,5,0.1065;0.0831;0.0791;0.0796;0.1031
Date (nutrients),biofood_date_region,regression,corr_dist,1.0392,0.184,5,0.9090;1.1258;1.0526;1.2891;0.8194
Date (nutrients),biofood_date_region,regression,mean_ks,0.2045,0.049,5,0.1878;0.1621;0.2862;0.1758;0.2108
Date (nutrients),biofood_date_region,regression,coverage_at_90,0.92,0.0254,5,0.9083;0.8833;0.9500;0.9333;0.9250
Date (nutrients),biofood_date_region,regression,calib_err,0.083,0.0108,5,0.1006;0.0754;0.0758;0.0769;0.0862
Date (nutrients),biofood_date_region,vae,corr_dist,0.7359,0.2585,5,0.3991;0.7805;0.8793;1.0554;0.5651
Date (nutrients),biofood_date_region,vae,mean_ks,0.3359,0.0534,5,0.2965;0.3247;0.4275;0.3310;0.3001
Date (nutrients),biofood_date_region,vae,coverage_at_90,0.7533,0.0173,5,0.7500;0.7417;0.7333;0.7750;0.7667
Date (nutrients),biofood_date_region,vae,calib_err,0.139,0.0232,5,0.1471;0.1430;0.1658;0.1023;0.1367
Date (nutrients),biofood_date_region,hybrid_vae,corr_dist,0.5602,0.2517,5,0.3425;0.6242;0.6189;0.9191;0.2964
Date (nutrients),biofood_date_region,hybrid_vae,mean_ks,0.1873,0.0499,5,0.1706;0.1443;0.2736;0.1699;0.1783
Date (nutrients),biofood_date_region,hybrid_vae,coverage_at_90,0.8583,0.0276,5,0.8500;0.8167;0.8667;0.8667;0.8917
Date (nutrients),biofood_date_region,hybrid_vae,calib_err,0.0777,0.0192,5,0.1090;0.0695;0.0731;0.0574;0.0796
Safou (nutrients),biofood_safou_region,physics_mc,corr_dist,0.3173,0.2054,5,0.1548;0.1218;0.2479;0.4681;0.5940
Safou (nutrients),biofood_safou_region,physics_mc,mean_ks,0.2536,0.0712,5,0.1919;0.1910;0.2252;0.3370;0.3230
Safou (nutrients),biofood_safou_region,physics_mc,coverage_at_90,0.9615,0.0136,5,0.9615;0.9423;0.9808;0.9615;0.9615
Safou (nutrients),biofood_safou_region,physics_mc,calib_err,0.1029,0.0333,5,0.0744;0.0783;0.0968;0.1572;0.1077
Safou (nutrients),biofood_safou_region,regression,corr_dist,0.2773,0.1747,5,0.1683;0.1765;0.2552;0.2028;0.5839
Safou (nutrients),biofood_safou_region,regression,mean_ks,0.2799,0.0686,5,0.2037;0.2508;0.2450;0.3741;0.3257
Safou (nutrients),biofood_safou_region,regression,coverage_at_90,0.95,0.0219,5,0.9231;0.9423;0.9808;0.9615;0.9423
Safou (nutrients),biofood_safou_region,regression,calib_err,0.1328,0.0543,5,0.0790;0.1453;0.0988;0.2191;0.1216
Safou (nutrients),biofood_safou_region,vae,corr_dist,0.1583,0.0484,5,0.0770;0.1509;0.1806;0.1926;0.1905
Safou (nutrients),biofood_safou_region,vae,mean_ks,0.2297,0.0706,5,0.1944;0.1366;0.3227;0.2664;0.2283
Safou (nutrients),biofood_safou_region,vae,coverage_at_90,0.8269,0.0561,5,0.7308;0.8462;0.8269;0.8654;0.8654
Safou (nutrients),biofood_safou_region,vae,calib_err,0.0967,0.0246,5,0.0871;0.0705;0.0956;0.1371;0.0932
Safou (nutrients),biofood_safou_region,hybrid_vae,corr_dist,0.2306,0.1759,5,0.0753;0.0629;0.1856;0.3850;0.4443
Safou (nutrients),biofood_safou_region,hybrid_vae,mean_ks,0.2734,0.0646,5,0.2311;0.2213;0.2359;0.3716;0.3073
Safou (nutrients),biofood_safou_region,hybrid_vae,coverage_at_90,0.9154,0.0322,5,0.8654;0.9038;0.9231;0.9423;0.9423
Safou (nutrients),biofood_safou_region,hybrid_vae,calib_err,0.1225,0.0448,5,0.1024;0.1049;0.1026;0.2027;0.1002
Mango (Vit C),mango_composition,physics_mc,corr_dist,0.4173,0.1525,5,0.4121;0.3547;0.3220;0.3162;0.6814
Mango (Vit C),mango_composition,physics_mc,mean_ks,0.13,0.0314,5,0.1321;0.1291;0.1037;0.1040;0.1808
Mango (Vit C),mango_composition,physics_mc,coverage_at_90,0.9036,0.0165,5,0.8929;0.8988;0.9107;0.8869;0.9286
Mango (Vit C),mango_composition,physics_mc,calib_err,0.0423,0.0135,5,0.0364;0.0257;0.0372;0.0551;0.0573
Mango (Vit C),mango_composition,regression,corr_dist,0.3786,0.1408,5,0.3104;0.3683;0.3014;0.2884;0.6244
Mango (Vit C),mango_composition,regression,mean_ks,0.1419,0.0301,5,0.1262;0.1255;0.1297;0.1329;0.1955
Mango (Vit C),mango_composition,regression,coverage_at_90,0.9631,0.0129,5,0.9583;0.9762;0.9762;0.9464;0.9583
Mango (Vit C),mango_composition,regression,calib_err,0.078,0.016,5,0.0534;0.0785;0.0795;0.0800;0.0984
Mango (Vit C),mango_composition,vae,corr_dist,0.4298,0.18,5,0.3581;0.5761;0.2168;0.3438;0.6541
Mango (Vit C),mango_composition,vae,mean_ks,0.1576,0.0227,5,0.1281;0.1633;0.1700;0.1418;0.1850
Mango (Vit C),mango_composition,vae,coverage_at_90,0.919,0.02,5,0.9286;0.9405;0.9167;0.8869;0.9226
Mango (Vit C),mango_composition,vae,calib_err,0.0829,0.023,5,0.0518;0.0792;0.0753;0.0946;0.1136
Mango (Vit C),mango_composition,hybrid_vae,corr_dist,0.3471,0.2249,5,0.1588;0.4541;0.0934;0.3823;0.6469
Mango (Vit C),mango_composition,hybrid_vae,mean_ks,0.135,0.037,5,0.1273;0.1273;0.1006;0.1215;0.1982
Mango (Vit C),mango_composition,hybrid_vae,coverage_at_90,0.8893,0.009,5,0.8869;0.8869;0.9048;0.8869;0.8810
Mango (Vit C),mango_composition,hybrid_vae,calib_err,0.0465,0.0102,5,0.0460;0.0337;0.0403;0.0597;0.0530
