Engine,Feature,Real Std Dev,Generated Std Dev,Ratio to Real
Physics-Informed Monte Carlo,Brix,1.7045534290084596,1.8314385265854278,1.0744389089937634
Physics-Informed Monte Carlo,TA,4.053027136968205,3.8091296822944174,0.939823384736518
Physics-Informed Monte Carlo,Firmness,1.135098030701667,1.2438611424291162,1.0958182542702648
Physics-Informed Monte Carlo,DryMatter,2.0401263480634935,2.0193021223900063,0.9897926784322678
Physics-Informed Monte Carlo,K,281.82524289436446,305.39312207773787,1.083625863110521
Physics-Informed Monte Carlo,Ca,10.817885528145895,23.06765538199112,2.1323626804862985
Physics-Informed Monte Carlo,Mg,11.581951305179254,15.8480048300246,1.368336337499333
Physics-Informed Monte Carlo,P,24.20839646342036,26.20755607089852,1.0825812486382131
Mcmc,Brix,1.7045534290084596,1.8049106200976395,1.0588759433299535
Mcmc,TA,4.053027136968205,3.82890028390584,0.9447013687576691
Mcmc,Firmness,1.135098030701667,1.2012377242015806,1.0582678250785345
Mcmc,DryMatter,2.0401263480634935,2.0166340172906967,0.9884848647756077
Mcmc,K,281.82524289436446,272.93162178563165,0.9684427802939342
Mcmc,Ca,10.817885528145895,20.552971720864402,1.8999065637540562
Mcmc,Mg,11.581951305179254,14.034776355870417,1.211779948478483
Mcmc,P,24.20839646342036,22.61905719540128,0.9343476024766604
Regression,Brix,1.7045534290084596,1.8806396055243115,1.103303406932971
Regression,TA,4.053027136968205,4.005289617181447,0.9882217616182882
Regression,Firmness,1.135098030701667,1.3078144438457238,1.1521599090761274
Regression,DryMatter,2.0401263480634935,2.157665955456472,1.0576138862696167
Regression,K,281.82524289436446,295.8273146999252,1.0496835260807673
Regression,Ca,10.817885528145895,22.74980344803655,2.1029806045595762
Regression,Mg,11.581951305179254,15.382065317070795,1.3281065436868305
Regression,P,24.20839646342036,24.456570668113564,1.0102515755253845
Variational Autoencoder,Brix,1.7045534290084596,1.6803538799285889,0.985802997625045
Variational Autoencoder,TA,4.053027136968205,3.6477510929107666,0.9000065801778475
Variational Autoencoder,Firmness,1.135098030701667,1.3043248653411865,1.149085656095193
Variational Autoencoder,DryMatter,2.0401263480634935,2.1760294437408447,1.066615038723632
Variational Autoencoder,K,281.82524289436446,272.3855895996094,0.9665052952751527
Variational Autoencoder,Ca,10.817885528145895,35.73612976074219,3.303430200639874
Variational Autoencoder,Mg,11.581951305179254,16.158493041992188,1.3951442737258255
Variational Autoencoder,P,24.20839646342036,24.106603622436523,0.9957951431794482
Physics-Informed VAE,Brix,1.7045534290084596,1.8375624418258667,1.078031589127
Physics-Informed VAE,TA,4.053027136968205,3.801439046859741,0.9379258806797283
Physics-Informed VAE,Firmness,1.135098030701667,1.2403384447097778,1.0927148238844675
Physics-Informed VAE,DryMatter,2.0401263480634935,2.024390459060669,0.9922868066393236
Physics-Informed VAE,K,281.82524289436446,292.787841796875,1.0388985698723219
Physics-Informed VAE,Ca,10.817885528145895,23.362106323242188,2.1595815801950233
Physics-Informed VAE,Mg,11.581951305179254,15.213830947875977,1.3135809801818634
Physics-Informed VAE,P,24.20839646342036,24.95405387878418,1.0308016029269238
