Engine,Feature,Real Std Dev,Generated Std Dev,Ratio to Real
Physics-Informed Monte Carlo,Water,11.395135039309649,10.013716235287974,0.8787711774142025
Physics-Informed Monte Carlo,Fat,10.946777379596881,9.706592340591335,0.8867077500528091
Physics-Informed Monte Carlo,Palmitic,4.134847305530675,3.8834594205953827,0.939202619502045
Physics-Informed Monte Carlo,Stearic,0.1677558713600054,0.23026441306439754,1.3726161188734094
Regression,Water,11.395135039309649,9.350375372746207,0.8205585401568598
Regression,Fat,10.946777379596881,9.069478253058127,0.8285066863570504
Regression,Palmitic,4.134847305530675,3.7740713461871898,0.9127474528839505
Regression,Stearic,0.1677558713600054,0.21910741164317535,1.306108751168352
Variational Autoencoder,Water,11.395135039309649,12.823509216308594,1.1253494734438425
Variational Autoencoder,Fat,10.946777379596881,4.7164201736450195,0.43085010410787244
Variational Autoencoder,Palmitic,4.134847305530675,1.8405247926712036,0.44512521422722445
Variational Autoencoder,Stearic,0.1677558713600054,0.12369998544454575,0.7373809598537665
Physics-Informed VAE (Hybrid),Water,11.395135039309649,8.869353294372559,0.7783456065922928
Physics-Informed VAE (Hybrid),Fat,10.946777379596881,8.85466480255127,0.8088832444016821
Physics-Informed VAE (Hybrid),Palmitic,4.134847305530675,3.5355618000030518,0.8550646586813416
Physics-Informed VAE (Hybrid),Stearic,0.1677558713600054,0.20323680341243744,1.2115033695380455
