Engine,Feature,Real Std Dev,Generated Std Dev,Ratio to Real
Structural Monte Carlo,RindFresh,2.3053216202706563,2.478710230619961,1.0752123299520124
Structural Monte Carlo,RindDry,0.7602053707981136,0.8609246081165146,1.1324895103183228
Structural Monte Carlo,MoistureLoss,1.5983164205144336,1.5832847001407881,0.9905952787691392
Structural Monte Carlo,ChillingInjury,17.51759678674842,11.63103118279989,0.6639627184248494
Structural Monte Carlo,Colour,0.07843200318756743,0.09572483127748535,1.2204817853314636
Mcmc,RindFresh,2.3053216202706563,2.2265290246124154,0.9658214303091512
Mcmc,RindDry,0.7602053707981136,0.7756107122901287,1.0202647101477875
Mcmc,MoistureLoss,1.5983164205144336,1.490979996284295,0.9328440708907993
Mcmc,ChillingInjury,17.51759678674842,12.781764856158553,0.7296528748639542
Mcmc,Colour,0.07843200318756743,0.090911000347293,1.159105934472724
Regression,RindFresh,2.3053216202706563,2.3869895465982105,1.0354258276196473
Regression,RindDry,0.7602053707981136,0.8500287981125805,1.1181567912630825
Regression,MoistureLoss,1.5983164205144336,1.603599821717475,1.00330560403136
Regression,ChillingInjury,17.51759678674842,15.728630701699494,0.8978760553272792
Regression,Colour,0.07843200318756743,0.10627052320692659,1.3549382763154
Variational Autoencoder,RindFresh,2.3053216202706563,2.126901865005493,0.9226052652713091
Variational Autoencoder,RindDry,0.7602053707981136,0.7203846573829651,0.9476184792362857
Variational Autoencoder,MoistureLoss,1.5983164205144336,1.4228390455245972,0.8902111166865462
Variational Autoencoder,ChillingInjury,17.51759678674842,14.42686939239502,0.8235644174267414
Variational Autoencoder,Colour,0.07843200318756743,0.09452119469642639,1.2051355423166001
Physics-Informed VAE,RindFresh,2.3053216202706563,2.391571546322202,1.0374134026650128
Physics-Informed VAE,RindDry,0.7602053707981136,0.8398881329231672,1.1048174153800012
Physics-Informed VAE,MoistureLoss,1.5983164205144336,1.592840175927767,0.9965737418971746
Physics-Informed VAE,ChillingInjury,17.51759678674842,14.438308063611185,0.8242173991887612
Physics-Informed VAE,Colour,0.07843200318756743,0.09544877266180907,1.2169620662823901
